FileName,PageCount,Size,CompressedSize,Ratio,Duration
/Users/zhangmeng56/Documents/github/go-practice/pdf/pdf-files/good-well-001/84599027788898.pdf,1,193275929,193097018,0.092568,1921.393958
/Users/zhangmeng56/Documents/github/go-practice/pdf/pdf-files/good-well-050/872800471952835.pdf,441,188170944,53469528,71.584599,140138.931417
/Users/zhangmeng56/Documents/github/go-practice/pdf/pdf-files/good-well-050/928853708792616.pdf,369,187786069,113872451,39.360544,57731.136792
/Users/zhangmeng56/Documents/github/go-practice/pdf/pdf-files/good-well-050/944605085620108.pdf,441,186822280,79645241,57.368446,125112.571959
/Users/zhangmeng56/Documents/github/go-practice/pdf/pdf-files/head first javascript 中文版.pdf,628,51546116,51181833,0.706713,281.226541
/Users/zhangmeng56/Documents/github/go-practice/pdf/pdf-files/logo.pdf,12,680694,450117,33.873811,297.566959
/Users/zhangmeng56/Documents/github/go-practice/pdf/pdf-files/logo1.pdf,1,167794,149534,10.882392,25.526375
/Users/zhangmeng56/Documents/github/go-practice/pdf/pdf-files/mml-book.pdf,417,17085505,12895129,24.525912,1574.015917
/Users/zhangmeng56/Documents/github/go-practice/pdf/pdf-files/not-ok.pdf,200,70110622,13820199,80.288010,71485.602042
/Users/zhangmeng56/Documents/github/go-practice/pdf/pdf-files/test/hello1.pdf,1,638,672,-5.329154,1.561833
/Users/zhangmeng56/Documents/github/go-practice/pdf/pdf-files/test/hello2.pdf,1,639,673,-5.320814,1.455500
/Users/zhangmeng56/Documents/github/go-practice/pdf/pdf-files/test/hello3.pdf,1,640,674,-5.312500,0.755791
/Users/zhangmeng56/Documents/github/go-practice/pdf/pdf-files/test/hello4.pdf,1,639,673,-5.320814,1.015208
/Users/zhangmeng56/Documents/github/go-practice/pdf/pdf-files/test/hello5.pdf,1,639,673,-5.320814,1.918166
/Users/zhangmeng56/Documents/github/go-practice/pdf/pdf-files/test/hello6.pdf,1,641,675,-5.304212,0.852541
/Users/zhangmeng56/Documents/github/go-practice/pdf/pdf-files/test/hello7.pdf,1,638,672,-5.329154,0.550125
/Users/zhangmeng56/Documents/github/go-practice/pdf/pdf-files/test/template1.pdf,1,578,647,-11.937716,0.693084
/Users/zhangmeng56/Documents/github/go-practice/pdf/pdf-files/test/template2.pdf,1,607,641,-5.601318,0.480542
/Users/zhangmeng56/Documents/github/go-practice/pdf/pdf-files/test/template_3line.pdf,1,623,670,-7.544141,0.586958
/Users/zhangmeng56/Documents/github/go-practice/pdf/pdf-files/test/template_frame_black.pdf,1,659,692,-5.007587,0.566750
/Users/zhangmeng56/Documents/github/go-practice/pdf/pdf-files/test/template_line.pdf,1,524,593,-13.167939,0.467166
/Users/zhangmeng56/Documents/github/go-practice/pdf/pdf-files/test/template_qQ_use.pdf,1,588,644,-9.523810,0.435709
/Users/zhangmeng56/Documents/github/go-practice/pdf/pdf-files/修改代码的艺术.pdf,360,11605667,15110223,-30.196937,32994.203209
/Users/zhangmeng56/Documents/github/go-practice/pdf/pdf-files/流量池电子版_20240723212628.pdf,638,37254339,11621998,68.803639,11925.239541
/Users/zhangmeng56/Documents/github/go-practice/pdf/pdf-files/编写可读代码的艺术.pdf,193,11613742,11311726,2.600506,315.977250
