FileName,Version,Size,PageCount,ImageObjCount,ImageObjSize,PathObjCount,TextObjCount,TextCount
/Users/zhangmeng56/Documents/github/go-practice/pdf/pdf-files/good-well-001/573909553085728.pdf,16,193123336,8,12,136263749,2424,60,914
/Users/zhangmeng56/Documents/github/go-practice/pdf/pdf-files/good-well-001/84599027788898.pdf,15,193275929,1,22,98719103,394,0,0
/Users/zhangmeng56/Documents/github/go-practice/pdf/pdf-files/good-well-050/872800471952835.pdf,17,188170944,441,385,179514236,26652,7115,38507
/Users/zhangmeng56/Documents/github/go-practice/pdf/pdf-files/good-well-050/928853708792616.pdf,13,187786069,369,369,187566600,0,0,0
/Users/zhangmeng56/Documents/github/go-practice/pdf/pdf-files/good-well-050/944605085620108.pdf,17,186822280,441,441,186674467,0,0,0
/Users/zhangmeng56/Documents/github/go-practice/pdf/pdf-files/head first javascript 中文版.pdf,16,51546116,628,628,53669682,0,0,0
/Users/zhangmeng56/Documents/github/go-practice/pdf/pdf-files/hello-world.pdf,10,934,1,0,0,0,1,10
/Users/zhangmeng56/Documents/github/go-practice/pdf/pdf-files/logo.pdf,17,680694,12,37,476621,340,1489,4171
/Users/zhangmeng56/Documents/github/go-practice/pdf/pdf-files/logo1.pdf,17,167794,1,3,37199,0,66,267
/Users/zhangmeng56/Documents/github/go-practice/pdf/pdf-files/mml-book.pdf,15,17085505,417,2,271602,3041,86928,672408
/Users/zhangmeng56/Documents/github/go-practice/pdf/pdf-files/not-ok.pdf,14,70110622,200,200,70007597,0,0,0
/Users/zhangmeng56/Documents/github/go-practice/pdf/pdf-files/scan-small.pdf,16,207338,4,4,145591,0,0,0
/Users/zhangmeng56/Documents/github/go-practice/pdf/pdf-files/test/hello-broken.pdf,17,638,1,0,0,0,1,10
/Users/zhangmeng56/Documents/github/go-practice/pdf/pdf-files/test/hello1.pdf,17,638,1,0,0,0,1,10
/Users/zhangmeng56/Documents/github/go-practice/pdf/pdf-files/test/hello2.pdf,17,639,1,0,0,0,1,10
/Users/zhangmeng56/Documents/github/go-practice/pdf/pdf-files/test/hello3.pdf,17,640,1,0,0,0,1,10
/Users/zhangmeng56/Documents/github/go-practice/pdf/pdf-files/test/hello4.pdf,17,639,1,0,0,0,1,10
/Users/zhangmeng56/Documents/github/go-practice/pdf/pdf-files/test/hello5.pdf,17,639,1,0,0,0,1,10
/Users/zhangmeng56/Documents/github/go-practice/pdf/pdf-files/test/hello6.pdf,17,641,1,0,0,0,1,10
/Users/zhangmeng56/Documents/github/go-practice/pdf/pdf-files/test/hello7.pdf,17,638,1,0,0,0,1,10
/Users/zhangmeng56/Documents/github/go-practice/pdf/pdf-files/test/template.pdf,10,440,1,0,0,3,0,0
/Users/zhangmeng56/Documents/github/go-practice/pdf/pdf-files/test/template1.pdf,10,578,1,0,0,1,0,0
/Users/zhangmeng56/Documents/github/go-practice/pdf/pdf-files/test/template2.pdf,10,607,1,0,0,4,0,0
/Users/zhangmeng56/Documents/github/go-practice/pdf/pdf-files/test/template_3line.pdf,10,623,1,0,0,3,0,0
/Users/zhangmeng56/Documents/github/go-practice/pdf/pdf-files/test/template_frame_black.pdf,10,659,1,0,0,2,0,0
/Users/zhangmeng56/Documents/github/go-practice/pdf/pdf-files/test/template_line.pdf,10,524,1,0,0,1,0,0
/Users/zhangmeng56/Documents/github/go-practice/pdf/pdf-files/test/template_qQ_use.pdf,10,588,1,0,0,3,0,0
/Users/zhangmeng56/Documents/github/go-practice/pdf/pdf-files/修改代码的艺术.pdf,16,11605667,360,3549,4437206,0,55762,0
/Users/zhangmeng56/Documents/github/go-practice/pdf/pdf-files/流量池电子版_20240723212628.pdf,14,37254339,638,931,64237984,2577,272094,247642
/Users/zhangmeng56/Documents/github/go-practice/pdf/pdf-files/编写可读代码的艺术.pdf,15,11613742,193,193,11385259,0,0,0
